Device ID,Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
38:e1:f4:48:8a:c1,2025-12-01 20:25:25,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2088,Evolve M2
18:0c:7a:8a:85:ae,2025-12-01 20:25:20,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1035,Evolve M2
8c:9a:8f:d9:ec:52,2025-12-01 20:25:18,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1055 B2,Evolve M2
38:e1:f4:48:db:b7,2025-12-01 20:25:15,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1068,Evolve M2
38:e1:f4:48:db:11,2025-12-01 20:25:15,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1085 B1,Evolve M2
18:0c:7a:8a:85:f9,2025-12-01 20:25:13,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1082 B1,Evolve M2
38:e1:f4:48:82:81,2025-12-01 20:25:13,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1062 B1,Evolve M2
38:e1:f4:48:83:69,2025-12-01 20:25:12,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2010 B2,Evolve M2
8c:9a:8f:d9:ea:fa,2025-12-01 20:25:11,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2036,Evolve M2
38:e1:f4:48:8d:0f,2025-12-01 20:25:10,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2082 B1,Evolve M2
38:e1:f4:48:80:d3,2025-12-01 20:25:04,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2010,Evolve M2
38:e1:f4:49:84:c3,2025-12-01 20:25:03,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2053 B2,Evolve M2
38:e1:f4:48:86:1d,2025-12-01 20:25:02,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1066 B2,Evolve M2
